index,screen_name,user_id,tweet_text,length
1,Mia_2012x,512555917,👀 watching the race! ,21
3,Mia_2012x,512555917,Pre race pics from last Sunday on pit road.  I’m short so I take what I can get when it comes to taking pictures &amp;… ,120
6,Mia_2012x,512555917,Went to see @rickspringfield in concert Saturday night! He was the first concert I went to when I was in high schoo… ,117
7,Mia_2012x,512555917,I was so excited to get a picture with @Aric_Almirola yesterday prior to the race at #TMS! Thank you @luckyg78 for… ,116
8,Morbid_Madame,2201552023,This is also one of my old pieces this time in Watercolours. It's of a demon sucking a soul out of this person.… ,113
9,Morbid_Madame,2201552023,"Right this is a commission that I did for someone, they wanted a purple owl, like something from a fantasy. So this… ",117
10,Morbid_Madame,2201552023,"So sorry I've not been on here much, I've just not been to well and I've also been working. I will be however posti… ",117
12,Morbid_Madame,2201552023,Isn't he lovely :) he's a new friend I met at a local zoo haha 😂 🐂 ,67
13,Morbid_Madame,2201552023,This is dedicated to Re-Animator my absolute favorite movie. Drawn with Wacom tablet in Manga Studio 5... neon style ,117
14,Morbid_Madame,2201552023,"Art of my zombie character ...Luna Deadbeat, drawn by me In krita with a wacom tablet. Will post more of my art. ",113
21,ronnbelen,996989300," via @youtube .
When listening sounds .mind traveling ! Instead watching .!",75
22,randybeamer,34392053,"WATCH: My new favorite song is @BretMullins band 'Watching You Drink.'
Catch them in Floresville Saturday at the 4t… ",117
29,randybeamer,34392053,"Puppies thrown away in dumpster reunited after quarantine

@News4SA ",68
30,randybeamer,34392053,"VIDEO: Rare look inside nation's gun tracing center 
 
@News4SA 
@EmilyBaucum ",78
31,randybeamer,34392053,"WATCH: Which #SanAntonio Deli/Sandwich Shop just won the @News4SA Blue Plate Award

@News4SA… ",94
33,randybeamer,34392053,"Air Force identifies pilot killed in T-38 crash at @LaughlinAFB in Del Rio

@News4SA ",85
34,randybeamer,34392053,"WATCH: #SanAntonio jogger talks about being shot by man trying to steal his cell phone
 ",88
35,randybeamer,34392053,"Your San Antonio Quiz for today:
Can you name this San Antonio Mission?
Bonus points if you can name the kind of ca… ",117
36,randybeamer,34392053,"WATCH: #SanAntonio jogger talks about being shot by man trying to steal his cell phone
 ",88
38,randybeamer,34392053,"WATCH: Which #SanAntonio Deli/Sandwich Shop just won the @News4SA Blue Plate Award

@News4SA… ",94
39,randybeamer,34392053,"Air Force identifies pilot killed in T-38 crash at @LaughlinAFB in Del Rio

@News4SA ",85
41,ThePippyCo,19049407,Night Fever with the NIGHT SKY dress by Stop Staring!   ,56
50,ThePippyCo,19049407,"BEAUTIFUL!  Look out men, here she comes.  has the new version of the COVERGIRL dress for Fa… ",94
51,ThePippyCo,19049407,"FALL FASHION IS HERE! Stop Staring new fashion for the new season is available at  #romper,… ",93
53,ThePippyCo,19049407,thepippyco@gmail.com -  ,24
54,ThePippyCo,19049407,Do you remember the 21st night of SEPTEMBER? This dress available at  ,70
59,ThePippyCo,19049407,"Fall Fashion is here, get ready for rockabilly plaid available at   ",68
60,CalgaryCulture,55278625,"The @CDWP_UCalgary’s 25th anniversary celebrations continue with its annual Distinguished Visiting Writer event, fe… ",117
62,nollywoodmovies,65604908,Watch Nollywood Movie: DIRTY OLD MEN  ,38
82,JPPrice,19629769,New at HSR: Gameday central: Indiana at Arkansas  ,50
84,kimlanobs,1689622986,i swear every time i sleep some drama happens and im just ,58
85,DKorecki,402542955,Watching #TheGymkhanaFiles ,27
86,DKorecki,402542955,Officially out of warranty at 100k miles. Pray for me. ,55
87,DKorecki,402542955,Airbud catching snowballs ,26
88,DKorecki,402542955,The Loki-plow coming through ,29
89,DKorecki,402542955,I clearly swapped to the winter set at the right time. ,55
90,DKorecki,402542955,Snowstache ,11
91,DKorecki,402542955,Invented a new show for @thehoonigans with @hertlife over Twitch. The Paw-fessionals (the_pawfessionals) featuring… ,116
92,DKorecki,402542955,Tonight's itinerary #Fallout76 ,31
93,DKorecki,402542955,Added all the tracks I have driven on to the toolbox. Plenty of room for more tracks. ,86
97,DKorecki,402542955,Beautiful #Corvette ,20
98,DKorecki,402542955,Testing out Ken Block's Hoonitruck ,35
100,DKorecki,402542955,I'm a simple guy. I see my car I take a picture. ,49
101,Bessytwits,37529099,watching Tinker at Laemmle Playhouse 7 ,39
102,Bessytwits,37529099,"When I was in Greenville, I worked on an indie feature film called #tinker it was like a calling when I sent my res… ",117
105,Bessytwits,37529099,"Happening now in Pasadena, CA ",30
