index,screen_name,user_id,tweet_text,length
1,petemongeau,872486509,"Date with the devil, after a full Row and strongman workout at CrossFit Zanshin interval training on the Assault Ru… ",117
2,LisaGfit,312254338,"When I first began my fitness journey, I realized how difficult it can be to start &amp; continue a fitness regimen.… ",118
7,NatashaRaey,65809027,Yoga retreat flight 1 of 2💕 ,28
8,Stallion3_PH,1183664430,"I'm at Planet Fitness in Perry Hall, MD ",40
10,chairyoga,104773387,"Lakshmi Voelker Chair Yoga to Hold a Teacher Training at New York Open Center January 8-11, 2019… ",98
13,DiscoverAd,361139042,"New trip ✨🚲
London to Bruges is one smooth ride but what an adventure!
Cycling from the capital and crossing the Du… ",117
14,Crypto_Dak,192373165,"It's all about the #gainz !  DIOXYME is supplements with morals, no gimmicks, just results.… ",93
23,loriedwards,18051167,Rainbow Threddy is doing yoga this morning ,43
25,magmza,161882110,I was out cycling 4.27 km with #Endomondo #endorphins ,54
32,davidhulstedt,4281068541,"Prayer for both of us

You and I fight for healing, detox, energy, temp, family, mind, fat, loved ones, workouts, h… ",117
35,YoungBlessmusic,382991447,STRONG FEMALE FITNESS MOMENTS – HARD WORKOUT(82) ,49
50,djsuave1963,445740826,"#StairMasterTalk  #849caloriesburned 
30minutes straight (10 minutes at level 20, 10 minutes level 21, 5minutes lev… ",117
52,ariel_kramer,252263561,"Me: 
*just wants to go to the bathroom*

Sophie: 
*does cat yoga on my lap* ",76
53,Kirankeihin,2922690524,"“If you are quiet enough, you will hear the flow of the universe. You will feel its rhythm. Go with this flow. Happ… ",117
62,preetiranjanrau,374336114,Using Yoga and Tai Chi Chuan to Tune Into Your Body and Reduce Stress ,70
63,sossunshine,2761699470,alright who put JBH in a workout playlist ,42
66,HighFunctionFit,3131224282,The gym is a lot more than just turf and dumbbells. High Function Fitness is a family - a group of individuals who… ,116
67,CFTrainingYard,2691028910,"CFTY - Wednesday 11/14/18
Row: 1-2-3-4-3-2-1
Work/Rest equal parts each round (1 min ON, 1 min Off, 2 min ON, etc)… ",116
68,UAE_1,62753455,"Some pic of today race . Congratulations to all winner , grats to riders who qualified to Alsalam Tournament ❤...… ",115
73,TucsonTowers,330334341,Cycling | Arthritis Research UK ,32
76,HealthFitnessP,4357983792,Female Fitness Motivation   Work to Achieve 2014 - ,51
80,RealLamarOdom,28669612,I want to make a shout out to Nick DiFrancesco scorpilon7 and veritasfarmsofficial to thank him for giving me this… ,116
84,DallasoGoing,1083668898,"ICYMI: Mavs x Lympo Blockchain Fitness App; Nokia, AT&amp;T, Jaunt Augment Reality; Roger Wilco Announces ICO -… ",113
85,RiverstoneYoga,250444611,As part of our Teen &amp; Tween Youth Workshops we're excited to have Kara Popiel holding Yoga for Stress Management an… ,121
86,ElReymedia,1965962130,"#SCCRiderzZ ... we made it! 💖 ... loving this family, and the fellowship of cycling. 🥰👁🌈 — feeling grateful at Harb… ",117
87,yshelburne,17223680,So much fun as BOTH Hayward TECHFIT teams took their games to a local fitness center for members to try out! ,109
88,TamaraBrown2012,1870137218,"Thank you to EVERYONE who made it possible to bless owner, Tamara Brown, for her birthday! We had a great time cele… ",117
89,AMontgomery20,1648796617,"I just took an amazing workout with Lisa Niren and earned 1583 Fitcoin! Come run with me.
",90
92,JarrodOwenCox,328697210,Another quick 2 man limit. Had 10 ducks down within the first 15 minutes! Mac got quite the workout to say the leas… ,117
93,outworldapps,4821020951,These are the best workout headphones for iPhone and Apple Watch ,65
97,essensu,20221511,"With Thanksgiving next week, u may want to be aware of this: #GMO Potatoes Are Here – How To Avoid Them -… ",107
98,TheEdgeInDelRio,1611652824,Tip: The Ultimate Trap-Bar Deadlift | T Nation ,47
99,KKrumins,27029393,I just finished cycling 2.50 km in 7m:34s with #Endomondo #endorphins ,70
103,Be_fit_Healthy,2156622991,This is BiM. It is aqua fitness ,32
116,TIDYProject,989445229,Thank you bunsandboba for debuting my concept for bringing accessible social yoga and BBT to the MT. Pleasant hood.… ,117
120,BillMew,50636347,AMIA Calls for Harmonization of #Data #Privacy Policies. As the lines between consumer and clinical data systems co… ,117
128,RCFVelocity,45329143,CrossFit IS for anyone! ,24
132,OnTheRunHealth,3226305525,"Today’s exercise is the side leg lift. Keep your hips stacked straight on top of each other, slightly rotate your t… ",117
133,WilliamDufour7,4775544327,Lab-grown organs ‘go rogue’ and develop BRAIN and MUSCLE cells ,63
134,WilberJeffcoat1,574598601,"Good Day, Sun Shine.  ",22
137,jamescummiskey,416381539,Anyone been thinking about using CBD for fitness or training 👇👇👇💚✌️💚 ,69
148,word_34,376876772,"Lab-Grown Mini Kidneys 'Go Rogue,' Sprout Brain and Muscle Cells ",65
149,davestravelpage,28688879,Looking back to cycling from England to South Africa .... Cycling from Strasbourg to Blaustein - Update 4 cycling E… ,117
151,helenbriggs79,582937041,"Saturday run, 6 months ago Lydia didn’t run, she came out with me to keep me company and found a new love 💕 #run… ",114
155,laura25_star,74979228,First 10k I’ve ever done. Can’t actually believe this lazy lump did it 🤣🏃‍♀️ #fitness #training . Still some way to… ,117
156,geanieus,17769929,TABATA sixpack workout ,23
160,Gianni862,250524643,Saturday #Muscle ,17
161,MyGoodPlanet,4702987042,"A plunge into icy temperatures not only triggers several processes in the body to keep it warm, but also increases… ",116
162,heathwblack,14092439,"Despite being the least fit person on my basketball team, I was named our fitness center's member of the month for… ",116
164,djmellot,161717980,Back n da place!-in yo face planet fitness!!!  ,47
167,geardiary,11397432,Withings Pulse HR Updates a Favorite Fitness Tracker ,53
169,Jenny_Workout,1448603700,Body Beautiful Workout  ,24
173,_Lizzie_Brooks_,553188919,Happy hour yoga was a hit and a half with all of these exuberant souls! Thank you for being part of the first of ma… ,117
179,FarmFairyCrafts,2680729040,"Rich in Herbal Lore, Common Rue is a Beauty that Relieves Eyestrain and Muscle #Spasms:
 ",89
182,jonathanpatz,306854368,"Global Health Institute director discusses effect of #climate change on #health, social justice… ",97
186,MCAlviz,125993560,"I'm at Planet Fitness in Buena Park, CA ",40
187,dominicmunnelly,226071613,"Fairly rubbish at these but excellent for strengthening rotator cuff muscles so I’ll persist 

#thewayofdom… ",109
194,SJVillaFdn,966683371,"The S.I.M Gym has an exercise program to suit everybody! S.I.M. is a fun, relaxed, state-of-the-art fitness centre… ",116
195,okamikai,37283754,Great training today! Thanks so much to Sensei Joe Maadi and Shihan Brian Boris Oguma BigBear Aylward for their ama… ,117
196,Booger_Buns,4749632801,Basic bitch fitness #ffxiv #PS4share ,37
200,Marlo_PE,537020775,A year ago today I saw a bunch of white people doing yoga with a white instructor on a beach in India lmao. I hope… ,116
203,bretrg771,3343031392,"men’s, women’s long fitness sock, leggings paperless auction  FAQ’s  ",69
205,Goody2112,538552867,"Waterloo Bantam hockey team attends workshop at KW Cycling Academy!!

Thanks Coach Ali Vy for putting the team thro… ",117
206,i_razank,619763071,"I'm at Fitness Time Ladies in Riyadh, RiYADH ",45
208,IrishTimesFit,596541988,"‘I revel in my idiocy, and the next crazy challenge’ ",53
211,CoachNorrie1,92045582,AND THE CROWD WENT WILD.   In Abuja airport awaiting flight to Lagos. All quiet then The Eagles have a failed shot… ,116
215,manish1993Sing1,3014322114,"M3 Fitness Band by Landmark!

All-day Activity Tracking: Accurately record all-day activities like steps, distance,… ",117
219,MoorparkXC,1950671084,"STATE 2018. On a 6th runner tiebreak, our boys advance to state for the second straight season and second time in s… ",117
221,ThailandYoga,50760444,Turn Your Om On: 8 Great Yoga Styles to Try - Parade ,53
223,rusthawk,129148541,GIVEAWAY ALERT! Enter to win a full collection of yoga gear from prAna! Two lucky winners will receive their choice… ,117
225,ThailandYoga,50760444,Using Yoga and Tai Chi Chuan to Tune Into Your Body and Reduce Stress - Parade ,79
227,Insomne,3336761,"Sábado:

WORKOUT
15 MIN TIME CAP:
TEAM
20 WORM SQUATS 

PAREJA 1 (HOMBRE / HOMBRE): 
50 THRUSTERS

TEAM
20 WORM SQU… ",117
231,StoreMotorcycle,3022819222,Throttle Muscle TM8487-C – Brake Parts Cleaner 50 State Compliant Non-Chlorinated 13 Oz Case of 12… ,100
235,cstegmaier,18097588,The Tension of “Hell Yeah” vs. The Obligation of Accountability (and a Backblast). Some commentary on our arguable… ,116
237,WorldHealthScot,3301730613,Yoga and meditation on the increase among American adults and children  ,72
243,QuinnEaker,2415212156,"First time for Chinese chicken feet. Look gross actually pretty great. Lots of cologne good for injuries.
#foodporn… ",117
246,ufdelhi,1943995843,Setup gym in New Delhi Gym Equipment Manufacturer - Universal Fitness ,70
248,bodiesynergy,466624442,BODIESYNERGY Fitness: being thankful - ,39
249,robin757,17752321,congrats Abdullah Al Imran bhai for becoming iron man today at Malaysia iron  man contest. Awesome.  feeling proud… ,116
250,Puravidafitness,48559396,Great morning for cardio football. Becky’s acrobatic dive for my poorly thrown fade pass was the highlight.🏋️🏋️… ,113
251,opierrat,334931174,"latest #Move, Indoor cycling 43min, moderate, 23.74 km. ",56
