index,screen_name,user_id,tweet_text,length
93,BBHealthForum,3044858698,Week 5 of Life Choices Programme @YcTower  Tonight Killian from @HSweenyChemist came along and spoke to the group a… ,117
94,BBHealthForum,3044858698,Week 3 of Life Choices Programme with Leafair Community Association young people! Last nights session was our physi… ,117
95,BBHealthForum,3044858698,End of the road for Kayla and the Rickshaw team. Massive congratulations to each and every one of you. We are so pr… ,117
96,BBHealthForum,3044858698,On our way to London. Tune into BBC The One Show tonight when Kayla and the Rickshaw Team will say their final good… ,117
97,BBHealthForum,3044858698,Thank you to @StCeciliasDerry pupil Kate Hutton who was on placement with us. Kate supported in the delivery of pro… ,117
98,BBHealthForum,3044858698,Well done @StCeciliasDerry supporting Kayla and #TeamRickshaw today with their sponsor cycle and fun day @BBCCiN… ,114
99,BBHealthForum,3044858698,Oisin and Aileen at @BBCCiN Appeals evening in Belfast ,55
100,BBHealthForum,3044858698,Last day tomorrow for the Rickshaw Challenge well done team and good luck tomorrow to Kayla and the team. We can't… ,116
159,jackerufu,2189312575,"I usually run 20 laps at the gym to finish off a workout (which is usually a challenge for me), but somehow I ran 3… ",117
160,jackerufu,2189312575,I just bought the first of the fabric for Newt!!!!! ,52
161,jackerufu,2189312575,I’ve been sitting in bed for the past 10 minutes just watching the snow fall in the moonlight through my bedroom wi… ,117
836,Tidge24,457034662,"Hey, @KapanenTV is hosting a game giveaway for his followers! Here is the link --&amp;gt;",89
970,DavidTheVillain,228216679,When the pre workout hits ,26
971,DavidTheVillain,228216679,"If you know, you know!! ",24
972,DavidTheVillain,228216679,"Mood, Always. ",14
1061,alessahinlo,389401683,"Since I'm in Florida visiting my parents, I've been relying on YouTube yoga to replace my studio practice. I did th… ",117
1062,alessahinlo,389401683,I'm seriously thinking about subscribing to that monthly succulent box. Maybe taking care of low-key succulents dur… ,117
1109,osirisfotos,3786782713,Some guys are just Supermen everyday. No time for Clark Kent!  DemiGod: man_of_steelcw #bodybuilding #fitness… ,111
1110,osirisfotos,3786782713,"Ok, ⁦@KimKardashian⁩...you are the MVP for that dress on Ellen!  Brightened up my day!  DAMN!!  #EllenDeGeneres ",112
1459,SuperJanGames,59866544,"Finally made it to the gym for a decent workout, just in time for my 6 month gymiversary! 💪 ",92
1608,TheMaxWhite,1117483992,Long-distance-runner-social-media-achievement-unlocked ,55
1655,cbb515,364370452,Post Workout Treat!!!! ,23
1656,cbb515,364370452,Sometimes MNF Buddy blocks my view!!  #laprottie ,49
1792,k1rab0shi,515499131,So Davao is basically a police state. More on this later ,57
1793,k1rab0shi,515499131,Post workout swim ,18
1902,mr_leveluppt,1157337986,My pre-itis food day workout! 3 sets each of what's in black and 2 sets of what's in green! #TeamLevelUpPT #fitness… ,117
1903,Buff_mum,54789230,So T saw my fitness IG post. But didn’t like it. ,49
2272,emjo_,15827491,"Abs, ass, and back so sore from aerial yoga ",44
2273,emjo_,15827491,I make money moves ,19
2274,emjo_,15827491,"you're welcome

",16
2275,emjo_,15827491,My lips are chapped from the ice luge 🤗 ,40
2335,JackParsons_CEO,229211585,"In Jack’s mind:

Positive Jack “Jack go for a midnight run. Remember it’s about looking after your health and fitne… ",117
2336,JackParsons_CEO,229211585,A Side Hustle Is Your New Way Of Life!  ,40
2337,JackParsons_CEO,229211585,It was great to share the voice of the young people when it comes to the apprenticeship levy and what we really nee… ,117
2464,RealBHogenson,2310246914,Best pure runner of all time. Also dumb as a God damned rock. ,62
2876,Rubberbandits,68151046,Rutger Hauer on the Blade Runner set looking fairly 2019 ,57
2877,Rubberbandits,68151046,This puts it into a language that the contrarians can understand ,65
2977,lynllamoso,86744540,"I'm at Pound for Pound Fitness - Makati in Makati, Metro Manila ",64
2978,lynllamoso,86744540,"You prove to be an excellent collaborator, whether as a partne... More for Cancer ",82
2979,lynllamoso,86744540,"You can’t seem to sit still, and your restlessness will only i... More for Cancer ",82
2980,lynllamoso,86744540,Others might feel like they must tread on eggshells around you... More for Cancer ,82
3038,tperkinsbball23,236160906,"The date &amp; location is set for the 3rd Annual FAB 40 FROSH/SOPH Workout (Invite-Only).

⌚ March 2, 2019 at 9:00 AM… ",120
3039,tperkinsbball23,236160906,We may host an official qualifying event for the 2019 U.S. Open Basketball Championships! #FloridaBasketballBulletin ,117
3194,D3sC0,14628107,"I'm at Workout Station in Pozos, San Jose ",42
3386,iCyclone,16539917,Four-mile hill workout. Not a *terrible* pace given some of the killer climbs—especially the one around the halfway… ,117
3387,iCyclone,16539917,"N Hemisphere chase season seems to be over—bit shooting for #HurricaneMan ain't. Long weekend shoot, this time in L… ",117
3388,iCyclone,16539917,Latenight protein bomb after a brutal leg workout. In my usual perch: the very back booth at @k24hollywood. ,108
3389,andybigmickey,40761096,I walked outdoors for 6.65 MI with the Workout app on my #AppleWatch. ,70
