index,screen_name,user_id,tweet_text,length
148,katyarasco,3322278404,"welcome back “netflix and chill”
bye work ",42
149,katyarasco,3322278404,Last night.🍢🍺🎱 ,15
150,katyarasco,3322278404,unli wings todaaay ,19
151,katyarasco,3322278404,Lenlen and friends ,19
201,BrianJHaddad,60195392,Winner ,7
202,BrianJHaddad,60195392,Thanksgiving breakfast at Wisdom Diner in Bordentown NJ. Menu is like Andy Reid’s play sheet ,93
203,BrianJHaddad,60195392,Happy Thanksgiving to all of you! If I could give each of you a high five today I would. If you're traveling today… ,116
204,BrianJHaddad,60195392,Having fun with Thanksgiving travel?😱 Kill time in traffic with The Brian Haddad Podcast! Link in bio. New episode… ,116
205,BrianJHaddad,60195392,One of my favorite burns in movie history ,42
206,BrianJHaddad,60195392,"Can't fathom it was 9 yrs ago today I did the last ""Show Us Your Cans"" week-long food drive broadcast at Y101 Richm… ",117
207,BrianJHaddad,60195392,.@ChallengeMTV finale😲 ,23
208,BrianJHaddad,60195392,Trippy view from my studio earlier. Light but dark ,51
611,Caradonna13,2557227594,Enjoy the day ,14
612,Caradonna13,2557227594,  a short film about the effects of drinking Coffee.,52
613,Caradonna13,2557227594,"A first look at a FUNNPictures production,  Happy Halloween. ",61
672,SecretAvenger22,23563560,Just woke up 20 minutes ago and saw Black Friday deals going live. Copped all but two games from Amazon in the last… ,117
673,SecretAvenger22,23563560,"It's Wednesday evening, Thanksgiving is tomorrow and I'm currently chilling watching Netflix and Hulu.... ",106
674,SecretAvenger22,23563560,"I'm at Graham Crackers Comics - @gccomics in Chicago, IL ",57
675,Sylar1119,2458291817,Thanksgiving look... ,21
676,Sylar1119,2458291817,you can dress up your pokemon and my eevee is  so precious I love them #PokemonLetsGo #NintendoSwitch ,102
677,Sylar1119,2458291817,"Thinking about getting this haircut soon because it's been forever since I've had a haircut 

And this would be a p… ",117
678,Sylar1119,2458291817,"My mind rn 
Man I'm bored 
I love Killua 
Music 
I want a gf 
I want a bf 
I want a dog 
I love u
I graduate this y… ",117
679,Sylar1119,2458291817,I'm just thinking about Ariana Grande saying yuh and how I want to make a compilation of it... Idk it just popped i… ,117
680,Sylar1119,2458291817,I'm bored and don't know what to do... ,39
681,Sylar1119,2458291817,Idk I'm bored so I made this lmao ,34
716,WillCarpenterJR,65300125,"A customer at my shop got incredulous at me for having never seen the Jonah Hex movie, and that was the last straw.… ",117
717,jwknobloch,113089772,"It's a tradition: 

Thanksgiving Prayer by William Burroughs

",62
718,jwknobloch,113089772,"It's a good idea to watch the Thanksgiving episode from Season 4 of Northern Exposure tomorrow. Just sayin'.

",110
719,jwknobloch,113089772,"Like the article says, a lot of the old Great composers are, well, great, but just because you're old, dead, white,… ",117
831,stevensantos,19288213,Thanksgivings used to be about watching Godzilla movies on Channel 9 in NYC during the old days. ,97
832,stevensantos,19288213,"Admittedly, it would be funny to go to this tonight and see if people ask him questions to lead him on to saying th… ",117
833,BENelson14,581745487,Santa came to visit The Nelson home! ,37
834,BENelson14,581745487,Our first Movie Tavern experience!!! ,37
835,BENelson14,581745487,Just posted a photo ,20
836,BENelson14,581745487,"Chiefs, Rams... ",16
928,HaliJenn,19908498,👇🏼 Yes! Fresh pineapple on pizza is the best thing ever. ,57
969,cullenbunn,8324232,I spent a little time talking WITCH HAMMER with The Beat! ,58
1163,mrforhonor,3385735684,"This game is so fun, first Master Prime. #Starlinkgame

 ",57
1269,ch0pichuck,837972588,New season 🔥 New skills! New tactical play! 😘🎯 ,47
1310,the_Arnold,121197869,"Well... I hope not, given this is the Disney section... #disney #theparenttrap ",79
1311,the_Arnold,121197869,Here hoping that I didn’t just take delivery of my Christmas present... #cementmixer #arnthebuilder ,100
1312,the_Arnold,121197869,"Got called Andre today, I honestly liked it. 

However, I'm hesitant to adopt it as I fear it could lead people to… ",116
1313,the_Arnold,121197869,The face of a man who just realised that he can’t actually pull off the moustache that he always thought he could… ,115
1314,the_Arnold,121197869,‘Island Arn’ #islandniles #stub #frasier ,41
1315,the_Arnold,121197869,"When you try to be a hero, but your own shoddy marksmanship combined with a kerasine lamp have other ideas... #RDR2 ",116
1451,societyofjlaw,2504910697,"Today marks the 5 year anniversary of a film that will always be more than just a movie to me. #CatchingFire, thank… ",117
1452,societyofjlaw,2504910697,"Three years ago today the cast of Mockingjay Part 2 took shots on the NYC red carpet, an iconic moment
Watch Jennif… ",117
1689,DominicFord,17551975,I forgot I took a new gym selfie. Did arms today. DM me if you are on JFF and want to film w/me. :) ,100
1833,anmlcoIIective,2352212858,Same ,5
1834,anmlcoIIective,2352212858,None of you will ever know a life of glamour such as mine ;) ,61
1979,Deus_Vixere,1333556162,"Name: Larissa
Talent: SHSL Guerilla card-game producer
Age:  16
Skill: Can perceive others' emotions without concen… ",117
1980,Deus_Vixere,1333556162,"Good morning
I havent slept in years because I have crippling ",62
2065,detachedgaming,2326589767,What in the name of Mike! Family movie night and that time of year for all the Christmas films! #polarexpress ,110
2066,detachedgaming,2326589767,Chckout the latest All Things Geekery Podcast S2E13: The Blunder of Blizzcon ,77
2067,PoRiverJamBand,6039412,Have you ever met a celebrity? — I once accidentally hit Owen Wilson with my backpack in Frankfurt. ,100
2068,PoRiverJamBand,6039412,What would your perfect Saturday be like? — Me actually observing shabbos on the reg. ,86
2169,godblesskedme,120600951,i don’t need a relationship i need 8 million dollars in cash ,61
2170,godblesskedme,120600951,😝 ,2
2361,bribriHEARTS,113810143,"Name: Bri
Talent: SHSL International occult personality
Age:  19
Skill: Can hack into advanced systems easily with… ",116
2478,FANShowOfficial,3513426013,"If @VelveteenWWE enters this years #RoyalRumble, it’ll be the loudest pop of the night. ",88
2479,FANShowOfficial,3513426013,"I uploaded a new episode, ""Episode 376: Thanksgiving Special with Connor Ferguson"", on #spreaker ",97
2647,danpullenbooks,3303362225,"So coming home tonight my cousin mentions he has this random guitar, but it doesn't play right. I take it home and… ",116
2648,danpullenbooks,3303362225,"Curious if any of my horror peeps have seen this one. Not a recommendation, just curious as one of my best buds pla… ",117
2684,JoeMG323,272704244,Which idiot braved going to a major shopping center during the holiday season just because he had to have the new… ,115
2685,JoeMG323,272704244,"I just became a charter subscriber to the new Criterion Channel, launching spring 2019! ",88
2799,firstshowing,7581972,Watch: Animated Short Film 'The Ostrich Politic' Has Something to Say  #animation #shortfilm… ,94
2800,firstshowing,7581972,Weird Trailer for Chinese Tech Western Dark Comedy 'Ghostbox Cowboy'  #GhostboxCowboy… ,87
2801,firstshowing,7581972,First Trailer for Indie Comedy 'Dead In A Week (Or Your Money Back)'  #comedy #DeadInAWeek… ,92
2926,mcspacedude,2747029892,.@ArianaGrande ,15
2927,mcspacedude,2747029892,"eyes are strange 👁👁
",20
2928,mcspacedude,2747029892,Jedna godzina wfu w miesiącu mi w zupełności wystarczy ,55
2929,mcspacedude,2747029892,"Sense8 deserved better, it's such an incredible show but of course Netflix had to cancel it. Tragic ",100
2930,mcspacedude,2747029892,Mood: ,6
2951,HIMzone666NetMs,140199005,"Yeah, tonight was time for #FantasticBeastsTheCrimesofGrindelwald feat. #aaawDeJohnny awesome movie, we loved it. T… ",117
2952,HIMzone666NetMs,140199005,A smile of autumn. Winter is coming! ,37
2975,ISIS_Slay3r,3020315229,Lauryn Hill récidive en arrivant une nouvelle fois en retard sur scène ,71
2976,ISIS_Slay3r,3020315229,Powerful piece from @TheHumaneLeague’s own @JohnOberg on the powerful coalition of animal protection organizations… ,116
2977,ISIS_Slay3r,3020315229,"Le 16 novembre, John Chau, un Américain de 27 ans, a été encerclé et tué à peine arrivé sur l’île de North Sentinel… ",117
2978,ISIS_Slay3r,3020315229,Un enfant est né dans une rame du métro parisien   ,51
2979,ISIS_Slay3r,3020315229,South Korea closes dog slaughterhouse amid activist pressure  … @guardianeco MT @HSIGlobal ,91
2980,ISIS_Slay3r,3020315229,Condamnation à perpétuité d'un jeune chercheur britannique pour espionnage aux Emirats : Londres réagit ,104
2981,ISIS_Slay3r,3020315229,Attaque terroriste au Niger visant une société française : 8 morts et 5 blessés.  …,83
2982,ISIS_Slay3r,3020315229,"According to 3 separate testimonies we obtained, the activists in #SaudiArabia were repeatedly tortured by electroc… ",117
2983,ISIS_Slay3r,3020315229,"Honor officialise son nouveau smartphone Honor 10 Lite, et il est plutôt stylé (et pas cher) #Honor10 @Honor_FR… ",113
3015,fizzifruit,4700835317,I’m home alone so I’m watching Gregory horror show for the first time ,70
3016,BallroomPink,20724152,Mom’s friend is seeing a Mark Wahlberg movie tomorrow and then going to Walmart at 9 pm. Me: ,93
3017,DrewUnga,38784918,Zion reminds me of the guy who played Hank Gathers in the made-for-TV movie and who looked nothing like Hank Gather… ,117
3130,fairygarden5,386702171,Just saw #shapeofwater and was blown away .  A beautiful and timeless love story .   Words cannot express how much… ,116
3131,Pagmyst,313668559,Cicada has a new suit later this season on #TheFlash. Pretty sure this is filming for episode 11 for this season! ,114
3132,Pagmyst,313668559,New Video! The Flash ALMOST Killed! Cicada Origin Story! - The Flash 5x07 Trailer Breakdown! #TheFlash ,103
